play_session_id,user_id,start_datetime,end_datetime,channel_code,status_code,total_score,duration_seconds
17,205,2024-05-22 14:02:50.549,2024-05-22 18:07:50.549,BROWSER,TIMEOUT,3564,14700.0
18,395,2024-09-11 01:21:13.873,2024-09-11 09:05:13.873,MOBILE,TIMEOUT,1015,27840.0
19,101,2024-04-30 20:12:04.051,2024-05-01 04:06:04.051,BROWSER,COMPLETED,1856,28440.0
20,178,2024-01-12 11:49:43.814,2024-01-12 19:45:43.814,BROWSER,ABORTED,4977,28560.0
21,305,2024-03-03 10:31:28.212,2024-03-03 15:44:28.212,BROWSER,COMPLETED,2542,18780.0
22,261,2024-10-23 19:19:05.986,2024-10-23 19:56:05.986,MOBILE,TIMEOUT,4379,2220.0
23,100,2024-02-17 14:54:32.328,2024-02-17 21:10:32.328,BROWSER,TIMEOUT,3643,22560.0
24,173,2024-10-25 15:57:06.985,2024-10-25 23:28:06.985,MOBILE,ABORTED,761,27060.0
25,66,2024-09-24 19:13:34.052,2024-09-24 21:16:34.052,BROWSER,COMPLETED,4793,7380.0
26,252,2024-10-27 02:53:12.477,2024-10-27 05:05:12.477,BROWSER,TIMEOUT,1062,7920.0
27,251,2024-01-24 12:32:13.510,2024-01-24 13:22:13.510,MOBILE,COMPLETED,235,3000.0
28,105,2024-09-17 19:18:42.706,2024-09-18 05:16:42.706,MOBILE,ABORTED,4883,35880.0
29,339,2024-12-20 09:22:19.560,2024-12-20 09:33:19.560,MOBILE,COMPLETED,680,660.0
30,306,2024-09-24 11:29:45.131,2024-09-24 20:35:45.131,BROWSER,COMPLETED,1825,32760.0
31,287,2024-03-04 13:45:54.829,2024-03-04 22:00:54.829,MOBILE,TIMEOUT,2127,29700.0
32,225,2024-06-18 09:19:02.225,2024-06-18 15:36:02.225,MOBILE,ABORTED,696,22620.0
33,366,2024-06-29 21:50:16.268,2024-06-29 23:45:16.268,BROWSER,TIMEOUT,3614,6900.0
34,391,2024-10-07 15:38:27.417,2024-10-07 20:46:27.417,MOBILE,TIMEOUT,2464,18480.0
35,484,2024-07-03 05:53:55.400,2024-07-03 14:51:55.400,BROWSER,COMPLETED,2352,32280.0
36,343,2024-11-11 23:24:40.268,2024-11-12 07:37:40.268,BROWSER,COMPLETED,872,29580.0
37,145,2024-12-22 02:51:39.212,2024-12-22 08:19:39.212,BROWSER,COMPLETED,4952,19680.0
38,132,2024-08-01 13:18:29.334,2024-08-01 18:12:29.334,BROWSER,COMPLETED,3750,17640.0
39,156,2024-11-21 06:08:33.562,2024-11-21 08:44:33.562,MOBILE,ABORTED,2273,9360.0
40,25,2024-07-26 07:37:23.338,2024-07-26 11:51:23.338,BROWSER,COMPLETED,2081,15240.0
41,266,2024-10-04 01:28:12.772,2024-10-04 09:06:12.772,MOBILE,TIMEOUT,2909,27480.0
42,293,2024-03-29 07:49:20.432,2024-03-29 16:12:20.432,MOBILE,ABORTED,4537,30180.0
43,424,2024-02-18 18:19:14.321,2024-02-18 20:19:14.321,MOBILE,TIMEOUT,4630,7200.0
44,319,2024-07-12 08:33:47.505,2024-07-12 17:57:47.505,MOBILE,TIMEOUT,3985,33840.0
45,183,2024-11-12 10:12:42.985,2024-11-12 13:59:42.985,BROWSER,ABORTED,1128,13620.0
46,301,2024-02-10 13:38:00.583,2024-02-10 20:08:00.583,BROWSER,COMPLETED,2385,23400.0
47,440,2024-06-12 19:16:59.881,2024-06-13 00:19:59.881,BROWSER,COMPLETED,4494,18180.0
48,398,2024-04-30 14:32:46.112,2024-04-30 19:42:46.112,MOBILE,TIMEOUT,4080,18600.0
49,132,2024-12-29 23:07:45.409,2024-12-30 03:03:45.409,MOBILE,COMPLETED,2469,14160.0
50,3,2024-10-22 01:13:05.712,2024-10-22 08:57:05.712,BROWSER,COMPLETED,734,27840.0
51,486,2024-07-22 03:11:09.831,2024-07-22 06:33:09.831,BROWSER,COMPLETED,692,12120.0
52,131,2024-09-23 01:51:27.888,2024-09-23 08:37:27.888,MOBILE,TIMEOUT,483,24360.0
53,131,2024-12-08 10:24:16.268,2024-12-08 15:52:16.268,BROWSER,COMPLETED,2528,19680.0
54,385,2024-02-05 18:02:16.009,2024-02-05 23:52:16.009,BROWSER,COMPLETED,4697,21000.0
55,159,2024-09-26 09:53:19.984,2024-09-26 18:50:19.984,BROWSER,ABORTED,561,32220.0
56,299,2024-11-23 13:43:55.298,2024-11-23 17:45:55.298,MOBILE,ABORTED,3128,14520.0
57,471,2024-08-04 15:56:58.067,2024-08-04 18:48:58.067,MOBILE,COMPLETED,1258,10320.0
58,419,2024-12-08 08:18:18.975,2024-12-08 17:22:18.975,MOBILE,COMPLETED,4796,32640.0
59,359,2024-01-30 01:10:33.605,2024-01-30 09:59:33.605,MOBILE,ABORTED,1196,31740.0
60,259,2024-10-06 11:11:46.487,2024-10-06 18:30:46.487,BROWSER,ABORTED,4923,26340.0
61,167,2024-11-07 17:27:54.401,2024-11-07 21:12:54.401,BROWSER,COMPLETED,1376,13500.0
62,307,2024-03-12 15:52:11.168,2024-03-12 16:45:11.168,MOBILE,TIMEOUT,276,3180.0
63,260,2024-01-30 12:17:49.549,2024-01-30 16:24:49.549,BROWSER,COMPLETED,2289,14820.0
64,20,2024-08-26 10:59:00.072,2024-08-26 15:42:00.072,MOBILE,TIMEOUT,4182,16980.0
65,189,2024-01-14 06:48:45.321,2024-01-14 08:42:45.321,MOBILE,TIMEOUT,2662,6840.0
66,201,2024-11-04 05:57:16.661,2024-11-04 13:35:16.661,MOBILE,TIMEOUT,4745,27480.0
67,419,2024-12-26 22:15:21.594,2024-12-27 05:14:21.594,BROWSER,TIMEOUT,1385,25140.0
68,98,2024-09-23 09:48:14.908,2024-09-23 14:51:14.908,MOBILE,COMPLETED,718,18180.0
69,159,2024-11-29 20:35:46.259,2024-11-30 06:26:46.259,MOBILE,COMPLETED,4064,35460.0
70,199,2024-08-08 23:15:45.966,2024-08-09 06:36:45.966,BROWSER,COMPLETED,1185,26460.0
71,68,2024-10-06 17:38:23.459,2024-10-06 22:25:23.459,MOBILE,COMPLETED,2592,17220.0
72,131,2024-12-09 00:23:49.795,2024-12-09 03:17:49.795,MOBILE,TIMEOUT,1839,10440.0
73,370,2024-03-17 02:48:09.219,2024-03-17 11:43:09.219,MOBILE,COMPLETED,4134,32100.0
74,68,2024-11-11 14:18:42.482,2024-11-12 00:02:42.482,MOBILE,ABORTED,4734,35040.0
75,438,2024-02-17 17:44:17.598,2024-02-17 20:44:17.598,MOBILE,ABORTED,1181,10800.0
76,144,2024-11-06 22:21:03.502,2024-11-07 04:45:03.502,BROWSER,COMPLETED,2648,23040.0
77,9,2024-02-08 10:43:18.384,2024-02-08 16:03:18.384,MOBILE,TIMEOUT,2319,19200.0
78,140,2024-12-21 14:01:36.341,2024-12-21 15:50:36.341,MOBILE,TIMEOUT,4868,6540.0
79,149,2024-12-25 20:10:51.386,2024-12-26 01:41:51.386,BROWSER,COMPLETED,3524,19860.0
80,188,2024-04-17 00:58:52.279,2024-04-17 05:39:52.279,MOBILE,TIMEOUT,2937,16860.0
81,375,2024-07-13 02:31:27.900,2024-07-13 08:37:27.900,MOBILE,COMPLETED,793,21960.0
82,258,2024-10-13 11:15:06.485,2024-10-13 18:12:06.485,BROWSER,TIMEOUT,1051,25020.0
83,400,2024-08-20 01:38:05.505,2024-08-20 05:48:05.505,MOBILE,ABORTED,2501,15000.0
84,138,2024-05-26 21:16:24.939,2024-05-26 21:57:24.939,BROWSER,ABORTED,433,2460.0
85,274,2024-03-23 08:41:39.403,2024-03-23 10:32:39.403,MOBILE,ABORTED,3192,6660.0
86,269,2024-12-30 04:34:17.339,2024-12-30 11:48:17.339,MOBILE,TIMEOUT,4758,26040.0
87,279,2024-09-25 18:50:48.744,2024-09-26 04:33:48.744,MOBILE,ABORTED,4815,34980.0
88,308,2024-10-30 09:34:54.465,2024-10-30 10:47:54.465,MOBILE,ABORTED,2294,4380.0
89,210,2024-04-07 05:03:37.500,2024-04-07 12:23:37.500,BROWSER,COMPLETED,1307,26400.0
90,489,2024-05-21 19:59:55.306,2024-05-21 23:11:55.306,BROWSER,TIMEOUT,1146,11520.0
91,127,2024-08-20 21:05:24.126,2024-08-21 05:21:24.126,BROWSER,TIMEOUT,3440,29760.0
92,422,2024-11-01 20:30:21.857,2024-11-02 03:36:21.857,BROWSER,TIMEOUT,4819,25560.0
93,46,2024-05-30 07:49:21.486,2024-05-30 07:57:21.486,MOBILE,ABORTED,1095,480.0
94,73,2024-02-28 08:35:40.578,2024-02-28 10:43:40.578,BROWSER,ABORTED,2691,7680.0
95,330,2024-01-15 15:42:06.737,2024-01-15 23:20:06.737,MOBILE,COMPLETED,4830,27480.0
96,343,2024-11-19 03:20:55.348,2024-11-19 09:04:55.348,MOBILE,COMPLETED,1009,20640.0
97,89,2024-06-20 13:43:50.596,2024-06-20 14:25:50.596,MOBILE,COMPLETED,3898,2520.0
98,420,2024-01-24 02:40:22.195,2024-01-24 05:47:22.195,BROWSER,COMPLETED,2614,11220.0
99,313,2024-10-16 20:27:21.411,2024-10-17 05:18:21.411,MOBILE,ABORTED,4957,31860.0
100,333,2024-05-06 22:41:11.882,2024-05-07 06:23:11.882,BROWSER,COMPLETED,4229,27720.0
101,109,2024-07-27 23:56:02.919,2024-07-28 07:10:02.919,BROWSER,COMPLETED,1891,26040.0
102,381,2024-02-11 22:37:40.079,2024-02-12 01:08:40.079,BROWSER,ABORTED,1050,9060.0
103,173,2024-12-16 05:34:31.439,2024-12-16 10:11:31.439,BROWSER,TIMEOUT,1438,16620.0
104,222,2024-12-18 20:32:39.673,2024-12-18 21:39:39.673,BROWSER,ABORTED,2373,4020.0
105,276,2024-11-30 08:26:27.920,2024-11-30 09:04:27.920,MOBILE,ABORTED,2372,2280.0
106,500,2024-09-19 22:24:37.192,2024-09-20 05:40:37.192,BROWSER,TIMEOUT,1842,26160.0
107,86,2024-10-02 04:41:22.205,2024-10-02 10:31:22.205,MOBILE,COMPLETED,1785,21000.0
108,50,2024-09-23 22:29:18.360,2024-09-24 06:01:18.360,MOBILE,ABORTED,1170,27120.0
109,179,2024-08-19 09:31:33.940,2024-08-19 13:26:33.940,BROWSER,ABORTED,1716,14100.0
110,81,2024-08-01 02:52:58.208,2024-08-01 12:41:58.208,BROWSER,COMPLETED,859,35340.0
111,392,2024-10-16 22:46:16.300,2024-10-17 03:38:16.300,BROWSER,COMPLETED,640,17520.0
112,195,2024-06-29 07:00:12.004,2024-06-29 07:53:12.004,BROWSER,COMPLETED,3863,3180.0
113,145,2024-12-27 08:24:42.416,2024-12-27 16:19:42.416,MOBILE,TIMEOUT,3338,28500.0
114,288,2024-02-06 13:09:55.901,2024-02-06 14:37:55.901,MOBILE,ABORTED,4413,5280.0
115,307,2024-06-12 19:21:15.943,2024-06-13 01:11:15.943,BROWSER,COMPLETED,3710,21000.0
116,126,2024-11-20 22:12:29.568,2024-11-21 02:31:29.568,BROWSER,ABORTED,3504,15540.0
117,220,2024-03-12 04:21:31.596,2024-03-12 12:24:31.596,MOBILE,ABORTED,1303,28980.0
118,418,2024-06-26 10:33:16.725,2024-06-26 11:37:16.725,MOBILE,COMPLETED,772,3840.0
119,401,2024-05-25 01:22:43.518,2024-05-25 01:59:43.518,MOBILE,ABORTED,2038,2220.0
120,34,2024-09-27 12:30:42.793,2024-09-27 21:50:42.793,BROWSER,ABORTED,2854,33600.0
121,313,2024-12-20 05:47:50.251,2024-12-20 11:16:50.251,BROWSER,TIMEOUT,4128,19740.0
122,302,2024-06-18 05:47:26.230,2024-06-18 09:30:26.230,MOBILE,ABORTED,214,13380.0
123,167,2024-12-16 09:22:00.731,2024-12-16 12:10:00.731,MOBILE,COMPLETED,2542,10080.0
124,134,2024-09-25 20:03:10.865,2024-09-26 03:36:10.865,MOBILE,TIMEOUT,2201,27180.0
125,288,2024-08-27 21:58:42.176,2024-08-28 05:42:42.176,BROWSER,ABORTED,2948,27840.0
126,252,2024-11-17 04:48:00.344,2024-11-17 08:09:00.344,MOBILE,COMPLETED,3328,12060.0
127,88,2024-07-10 18:56:42.681,2024-07-11 03:44:42.681,BROWSER,TIMEOUT,4809,31680.0
128,240,2024-01-12 05:30:10.875,2024-01-12 12:26:10.875,BROWSER,COMPLETED,3515,24960.0
129,369,2024-10-10 15:44:13.376,2024-10-10 19:09:13.376,BROWSER,TIMEOUT,551,12300.0
130,207,2024-10-24 06:57:56.734,2024-10-24 09:27:56.734,BROWSER,TIMEOUT,1961,9000.0
131,114,2024-07-19 16:28:05.883,2024-07-19 20:22:05.883,BROWSER,COMPLETED,1092,14040.0
132,412,2024-09-10 08:07:07.170,2024-09-10 15:41:07.170,MOBILE,ABORTED,2892,27240.0
133,401,2024-12-01 06:52:45.948,2024-12-01 07:13:45.948,BROWSER,ABORTED,461,1260.0
134,211,2024-10-09 17:41:57.180,2024-10-09 18:55:57.180,BROWSER,COMPLETED,4057,4440.0
135,407,2024-06-07 14:34:40.309,2024-06-07 23:11:40.309,MOBILE,ABORTED,2673,31020.0
136,234,2024-06-01 21:18:12.285,2024-06-01 22:18:12.285,BROWSER,ABORTED,4816,3600.0
137,278,2024-05-17 15:29:48.603,2024-05-17 20:04:48.603,MOBILE,ABORTED,4265,16500.0
138,270,2024-01-21 09:18:13.326,2024-01-21 16:21:13.326,BROWSER,TIMEOUT,2708,25380.0
139,163,2024-05-21 15:37:32.076,2024-05-21 19:35:32.076,MOBILE,TIMEOUT,3929,14280.0
140,301,2024-10-05 06:14:39.717,2024-10-05 12:05:39.717,BROWSER,ABORTED,3016,21060.0
141,307,2024-12-17 15:18:57.327,2024-12-17 20:03:57.327,BROWSER,COMPLETED,4619,17100.0
142,434,2024-10-21 15:19:21.743,2024-10-21 20:35:21.743,BROWSER,COMPLETED,4213,18960.0
143,201,2024-12-12 22:52:44.055,2024-12-12 23:46:44.055,BROWSER,ABORTED,1079,3240.0
144,207,2024-11-30 14:15:20.742,2024-11-30 16:24:20.742,BROWSER,ABORTED,1702,7740.0
145,96,2024-01-22 01:56:07.370,2024-01-22 09:22:07.370,BROWSER,ABORTED,711,26760.0
146,441,2024-05-09 05:06:42.530,2024-05-09 10:30:42.530,MOBILE,COMPLETED,1200,19440.0
147,34,2024-12-02 13:09:07.594,2024-12-02 18:22:07.594,BROWSER,COMPLETED,3151,18780.0
148,41,2024-04-17 00:28:11.962,2024-04-17 05:04:11.962,MOBILE,ABORTED,3049,16560.0
149,221,2024-05-01 03:04:21.055,2024-05-01 08:15:21.055,MOBILE,COMPLETED,2689,18660.0
150,25,2024-09-06 15:14:06.894,2024-09-06 18:50:06.894,BROWSER,TIMEOUT,3583,12960.0
151,474,2024-06-16 08:35:54.944,2024-06-16 14:56:54.944,BROWSER,ABORTED,4199,22860.0
152,431,2024-10-26 16:37:21.879,2024-10-26 22:40:21.879,BROWSER,TIMEOUT,4928,21780.0
153,390,2024-11-06 00:12:23.727,2024-11-06 04:27:23.727,BROWSER,TIMEOUT,258,15300.0
154,402,2024-07-06 12:10:57.021,2024-07-06 13:27:57.021,BROWSER,ABORTED,4213,4620.0
155,274,2024-10-31 02:46:56.259,2024-10-31 06:55:56.259,MOBILE,TIMEOUT,2731,14940.0
156,31,2024-09-11 20:50:51.766,2024-09-12 04:45:51.766,BROWSER,TIMEOUT,2941,28500.0
157,418,2024-09-06 19:07:05.119,2024-09-06 21:06:05.119,BROWSER,COMPLETED,4460,7140.0
158,341,2024-01-07 04:06:27.410,2024-01-07 06:15:27.410,BROWSER,ABORTED,1390,7740.0
159,118,2024-12-18 10:54:01.078,2024-12-18 11:58:01.078,BROWSER,COMPLETED,2164,3840.0
160,104,2024-11-02 08:44:40.086,2024-11-02 09:47:40.086,MOBILE,ABORTED,1211,3780.0
161,73,2024-03-12 18:13:21.028,2024-03-12 21:34:21.028,MOBILE,ABORTED,2054,12060.0
162,31,2024-12-08 16:07:50.456,2024-12-08 16:50:50.456,BROWSER,COMPLETED,546,2580.0
163,287,2024-10-30 03:45:05.659,2024-10-30 10:53:05.659,MOBILE,COMPLETED,1764,25680.0
164,305,2024-06-08 20:48:56.823,2024-06-09 04:00:56.823,MOBILE,TIMEOUT,3633,25920.0
165,41,2024-10-29 22:21:48.441,2024-10-30 04:32:48.441,MOBILE,TIMEOUT,3386,22260.0
166,499,2024-09-23 19:10:09.681,2024-09-24 03:23:09.681,MOBILE,COMPLETED,1608,29580.0
167,310,2024-02-10 20:49:02.800,2024-02-10 21:49:02.800,MOBILE,COMPLETED,1831,3600.0
168,476,2024-08-19 08:23:55.487,2024-08-19 12:02:55.487,MOBILE,TIMEOUT,276,13140.0
170,297,2024-08-15 22:27:18.939,2024-08-16 01:53:18.939,MOBILE,COMPLETED,2036,12360.0
171,241,2024-11-26 19:15:07.282,2024-11-26 20:51:07.282,MOBILE,ABORTED,2125,5760.0
172,333,2024-10-26 11:39:28.045,2024-10-26 17:38:28.045,BROWSER,COMPLETED,2570,21540.0
173,253,2024-11-01 20:12:58.700,2024-11-01 21:54:58.700,BROWSER,TIMEOUT,1126,6120.0
174,410,2024-06-19 15:28:48.122,2024-06-20 01:18:48.122,BROWSER,ABORTED,564,35400.0
175,447,2024-06-06 19:07:30.936,2024-06-07 00:52:30.936,MOBILE,TIMEOUT,764,20700.0
176,496,2024-01-29 19:30:37.110,2024-01-30 04:09:37.110,BROWSER,ABORTED,3987,31140.0
177,408,2024-12-16 11:07:50.837,2024-12-16 17:17:50.837,BROWSER,ABORTED,2506,22200.0
178,460,2024-08-05 19:51:13.458,2024-08-05 20:02:13.458,BROWSER,TIMEOUT,4515,660.0
179,367,2024-06-29 18:53:53.877,2024-06-30 01:54:53.877,BROWSER,ABORTED,4016,25260.0
180,110,2024-03-28 13:58:10.051,2024-03-28 23:44:10.051,MOBILE,ABORTED,2975,35160.0
181,159,2024-12-20 00:01:39.796,2024-12-20 06:55:39.796,MOBILE,ABORTED,746,24840.0
182,59,2024-10-16 22:26:10.932,2024-10-17 01:49:10.932,BROWSER,TIMEOUT,300,12180.0
183,408,2024-12-21 18:58:36.593,2024-12-21 19:06:36.593,BROWSER,ABORTED,1073,480.0
184,184,2024-11-17 11:49:13.317,2024-11-17 13:54:13.317,BROWSER,COMPLETED,145,7500.0
185,137,2024-07-24 06:26:03.537,2024-07-24 07:52:03.537,MOBILE,ABORTED,4095,5160.0
186,209,2024-11-27 15:40:07.846,2024-11-27 23:34:07.846,MOBILE,COMPLETED,3675,28440.0
187,345,2024-05-20 02:52:11.132,2024-05-20 12:11:11.132,MOBILE,COMPLETED,3170,33540.0
188,443,2024-12-27 15:21:34.150,2024-12-27 22:42:34.150,MOBILE,COMPLETED,4877,26460.0
189,281,2024-09-23 08:19:19.681,2024-09-23 15:47:19.681,BROWSER,TIMEOUT,3069,26880.0
190,454,2024-02-09 16:01:22.872,2024-02-09 19:45:22.872,MOBILE,COMPLETED,654,13440.0
191,446,2024-07-15 05:34:12.134,2024-07-15 12:51:12.134,MOBILE,ABORTED,3637,26220.0
192,398,2024-07-02 06:59:31.962,2024-07-02 08:46:31.962,MOBILE,TIMEOUT,396,6420.0
193,265,2024-05-22 03:50:23.442,2024-05-22 07:40:23.442,BROWSER,ABORTED,1473,13800.0
194,107,2024-09-26 10:13:01.965,2024-09-26 17:13:01.965,BROWSER,ABORTED,3610,25200.0
195,430,2024-02-18 14:17:02.527,2024-02-18 17:57:02.527,MOBILE,TIMEOUT,647,13200.0
196,433,2024-08-31 17:45:48.400,2024-08-31 22:55:48.400,MOBILE,TIMEOUT,154,18600.0
197,82,2024-04-23 10:29:08.508,2024-04-23 19:04:08.508,MOBILE,ABORTED,1806,30900.0
198,319,2024-07-29 20:14:19.641,2024-07-29 21:25:19.641,MOBILE,TIMEOUT,3958,4260.0
199,18,2024-10-19 15:46:59.689,2024-10-19 17:04:59.689,BROWSER,TIMEOUT,1587,4680.0
200,327,2024-07-23 16:58:31.824,2024-07-23 23:34:31.824,BROWSER,TIMEOUT,585,23760.0
201,297,2024-09-17 03:07:14.046,2024-09-17 05:48:14.046,MOBILE,COMPLETED,2628,9660.0
202,495,2024-01-12 07:38:05.394,2024-01-12 11:30:05.394,BROWSER,TIMEOUT,2474,13920.0
203,202,2024-01-03 16:23:44.577,2024-01-03 21:15:44.577,BROWSER,ABORTED,2228,17520.0
204,387,2024-10-21 10:12:14.697,2024-10-21 15:55:14.697,BROWSER,COMPLETED,3165,20580.0
205,13,2024-05-31 21:14:25.014,2024-06-01 02:31:25.014,MOBILE,ABORTED,362,19020.0
206,341,2024-12-15 12:22:06.084,2024-12-15 20:35:06.084,BROWSER,ABORTED,1065,29580.0
207,468,2024-11-07 08:55:32.893,2024-11-07 15:37:32.893,MOBILE,ABORTED,4687,24120.0
208,211,2024-10-18 19:57:24.676,2024-10-19 00:07:24.676,MOBILE,ABORTED,1146,15000.0
209,478,2024-09-05 05:30:31.767,2024-09-05 15:12:31.767,MOBILE,COMPLETED,4643,34920.0
210,154,2024-05-08 10:38:33.484,2024-05-08 17:24:33.484,MOBILE,TIMEOUT,4382,24360.0
211,360,2024-11-29 12:19:15.669,2024-11-29 21:58:15.669,BROWSER,TIMEOUT,4010,34740.0
212,238,2024-07-15 19:52:32.124,2024-07-16 02:12:32.124,MOBILE,TIMEOUT,394,22800.0
213,352,2024-05-24 23:56:17.056,2024-05-25 06:23:17.056,MOBILE,COMPLETED,3470,23220.0
214,178,2024-09-10 17:19:49.141,2024-09-10 22:11:49.141,BROWSER,ABORTED,1428,17520.0
215,208,2024-02-20 21:24:06.159,2024-02-21 05:32:06.159,MOBILE,ABORTED,2325,29280.0
216,255,2024-02-10 13:06:42.922,2024-02-10 22:15:42.922,BROWSER,COMPLETED,186,32940.0
217,365,2024-05-12 06:26:08.580,2024-05-12 11:20:08.580,BROWSER,ABORTED,1244,17640.0
218,240,2024-05-11 12:58:53.244,2024-05-11 13:17:53.244,BROWSER,TIMEOUT,4192,1140.0
219,125,2024-01-24 02:04:57.433,2024-01-24 11:43:57.433,MOBILE,COMPLETED,1408,34740.0
220,173,2024-12-18 01:42:25.981,2024-12-18 06:40:25.981,MOBILE,ABORTED,2254,17880.0
221,74,2024-04-27 19:53:42.365,2024-04-27 20:41:42.365,BROWSER,ABORTED,2788,2880.0
222,55,2024-12-21 08:31:02.768,2024-12-21 11:03:02.768,MOBILE,TIMEOUT,4179,9120.0
223,381,2024-09-28 08:29:25.881,2024-09-28 10:56:25.881,MOBILE,ABORTED,3457,8820.0
224,247,2024-03-11 14:17:10.870,2024-03-11 21:10:10.870,MOBILE,COMPLETED,4653,24780.0
225,38,2024-07-30 10:15:04.169,2024-07-30 16:15:04.169,MOBILE,ABORTED,978,21600.0
226,439,2024-08-09 22:41:13.551,2024-08-10 07:42:13.551,MOBILE,COMPLETED,3912,32460.0
227,427,2024-09-02 07:52:53.246,2024-09-02 15:04:53.246,MOBILE,ABORTED,1121,25920.0
228,398,2024-10-05 21:08:08.901,2024-10-05 23:57:08.901,MOBILE,ABORTED,3151,10140.0
229,95,2024-10-28 19:30:23.692,2024-10-29 01:15:23.692,BROWSER,ABORTED,1579,20700.0
230,9,2024-11-29 01:32:38.945,2024-11-29 05:06:38.945,BROWSER,COMPLETED,3697,12840.0
231,250,2024-01-19 16:55:39.083,2024-01-19 20:52:39.083,MOBILE,TIMEOUT,4246,14220.0
232,185,2024-08-06 21:50:32.188,2024-08-07 04:41:32.188,MOBILE,COMPLETED,215,24660.0
233,432,2024-04-27 14:41:56.071,2024-04-27 22:38:56.071,BROWSER,COMPLETED,4599,28620.0
234,99,2024-10-21 15:46:39.790,2024-10-21 21:03:39.790,MOBILE,TIMEOUT,684,19020.0
235,302,2024-07-29 05:56:36.487,2024-07-29 08:53:36.487,BROWSER,COMPLETED,2336,10620.0
236,430,2024-07-23 02:25:10.067,2024-07-23 04:13:10.067,BROWSER,COMPLETED,1628,6480.0
237,451,2024-02-27 21:16:09.166,2024-02-28 00:35:09.166,BROWSER,TIMEOUT,2517,11940.0
238,466,2024-06-19 16:44:19.103,2024-06-20 00:25:19.103,MOBILE,TIMEOUT,234,27660.0
239,388,2024-01-28 20:22:14.785,2024-01-28 23:31:14.785,BROWSER,ABORTED,2963,11340.0
240,22,2024-04-25 18:14:26.707,2024-04-25 19:51:26.707,MOBILE,ABORTED,1052,5820.0
241,460,2024-12-19 20:15:07.512,2024-12-20 02:05:07.512,MOBILE,COMPLETED,4408,21000.0
242,236,2024-03-19 13:15:05.907,2024-03-19 17:23:05.907,MOBILE,TIMEOUT,2205,14880.0
243,423,2024-03-28 20:52:26.480,2024-03-28 21:48:26.480,BROWSER,ABORTED,3432,3360.0
244,449,2024-06-23 02:12:19.747,2024-06-23 07:33:19.747,MOBILE,TIMEOUT,1924,19260.0
245,200,2024-11-13 20:12:43.481,2024-11-14 01:43:43.481,MOBILE,TIMEOUT,3625,19860.0
246,45,2024-02-06 08:50:53.027,2024-02-06 09:19:53.027,MOBILE,COMPLETED,4790,1740.0
247,263,2024-01-30 07:44:17.702,2024-01-30 08:07:17.702,BROWSER,COMPLETED,2622,1380.0
248,450,2024-09-30 08:46:06.682,2024-09-30 10:46:06.682,MOBILE,COMPLETED,2397,7200.0
249,125,2024-05-18 16:24:39.661,2024-05-18 20:24:39.661,MOBILE,TIMEOUT,859,14400.0
250,389,2024-08-23 03:39:39.668,2024-08-23 11:25:39.668,MOBILE,ABORTED,4640,27960.0
251,230,2024-01-20 14:51:43.423,2024-01-20 19:12:43.423,BROWSER,TIMEOUT,4827,15660.0
252,270,2024-08-31 14:50:48.481,2024-09-01 00:33:48.481,BROWSER,TIMEOUT,2760,34980.0
253,309,2024-12-27 18:58:07.723,2024-12-27 19:50:07.723,BROWSER,COMPLETED,3695,3120.0
